Term,Pronunciation,Context / Example Usage,Notes,Tags
Erlang,,,,Common-term programming-language
Err functor,,,,
Eswaran,,,,
Ethel Tshukudu,,,,Author
EtherType,,,,
Ethernet,,,,
ExceptT,,,,
Eötvös Loránd University,,,,Institution
F* ,F-star,,,
F* language,,,,
F-algebra,,,,
FAA (Fetch-and-add) ,,,,
FBIP (Functional But In-Place),,,,
FFI (Foreign Function Interface) ,,,,
FFI (foreign function interface) ,,,,
FP,,functional programming,,
FP (functional programming) ,,,,
FPGA (field-programmable gate arrays),,,,hardware
FPGAs,,Field Programmable Gate Arrays,,Hardware
FTA (finite tree automata) ,,,,
FVF,,,,
Fabian Ruch,,,,Author
Felleisen,,,,
Feller-continuity,,,,
Feller-continuous,,,,
Feser,,,,
Filip Sieczkowski,,,,Author
Findler,,,,
First-class storable locks,,,,
Fisler,,,,
Fitch-style,,,,
Flanagan,,,,
Flist,,Fixed-length lists,,
Foldable,,,,
Foundational Proof-Carrying Code project,,,,
FoxNet project,,,,
Frama-C,,,,
Frame-limited,,,,Common-term
Francesco Gavazzo,,,,Author
Franciszek Sowul,,,,Author
Frank Emrich,,,,Author
Frank Pfenning,Frank “Fenning”,,,Author
François Garillot,,,,Author
Fraser,,,,
FreeSpec,,,,
FreezeML,,,,
G-code,,,,
GADT,Gad-it,Generalized algebraic data types,,Common-term
GAN,,generative adversarial network,,Common-term machine-learning
GC,,garbage collector,,Common-term
GCIC,jee-see-ay-see,Gradual version of the Calculus of Inductive Constructions,,
GDTL,,Gradual Dependently Typed Language,,
GEq (pronounced Geek),,,,
GHC,,,,tool compiler
GHC Haskell,,,,
GI,,,,
GLR parsing,,,,
GMQL,,,,
GNU Bison,,,,
GRIP ,greep,,,
GRIP^↑,greep-shift,,,theory
GV (Good Variation),,,,
Gabriel Radanne,,,,Author
Gabriele Vanoni,,,,Author
Gaifman graph,,,,
Gallinette Project-Team,,,,Lab
Gan Shen,,,,Author
Gardner's system ,,,,
Gay ,,,,Name
Gen,,,,
Generating Circuits with Generators,,,,Title
Gentzen,,,,
Georgy Lukyanov,,,,
Giarrusso ,,,,
Gibbons,,,,
Gifford,,,,
Gilles Barthe,,,,Author
Gilray,,,,
Girard,,,,Name
GitHub,,,,Institution
Giulio Guerrieri,,Author,,Author
Giuseppe Castagna,,,,Author
Glasgow Haskell Compiler,,,,tool compiler
GlashFill,,,,
Go,,,,
Goncharov,,,,
Gotsman,,,,
Graham Hutton,,,,Author
Graydon Hoare,,,,Name
Guy L. Steele Jr.,,,,Author
HD44780,,HD44780 Display Driver. Example used in paper,,
HDL (hardware description language),,,,Programming-language
HELIX ,,,,
HLS (high level synthesis),,,,Common-term
HM,,,,
HM(X) Solver,,A tool that they compare against,,tool
HMM (Hidden Markov Model) ,,,,
HOFS (higher-order functions) ,,,,
HOL4,hol as in “hollow”,This is theorem proving software,,tool
HTDP,,,,
Hancock,,,,Name
Handley,,,,
Handley ,,,,
Harrison Goldstein,,,,Author
Haskell,,,,Common-term programming-language
Haskell Core,,,,
Haxl,,,,
Hectare,,,,
Hereditary Harrop,,,,
Higher-order ghost state,,,,
Hilbert,,,,
Hindley-Milner,,,,
Hindley-Milner type inference,,,,
Hinrichsen,,,,
Hiroyuki Katsura,,,,Author
Hoare,Like “horse”,,,Name
Hoare logic,,,,Common-term
Hoare tripple ,,,,Common-term
Hodas and Miller,,,,
Honda,,,,
Hoogle+,"Like google, but with an “h” plus",Search tool for Haskell types,,
Hsiang-Shang 'Josh' Ko,,,,Author
Hsu,,,,
Huawei,,,,Company
Hudak,,,,Name
I/O,“eye-oh”,,,
I/O,,,,
I/O-tree,Eye-oh-tree,,,
IHL (Internet Header Length),,,,networking
IIT,,,,
IK,,A logic,,
IK4,,,,
IL (intermediate language) ,,,,Common-term
IMDEA Software Institute,,,,Institution
IMP,Like the little demon “imp”,A simple “imperative” programming language,,
INRIA,,,,Institution
IO,Eye-oh,,,
IORef,Eye-oh ref,,,
IR ,I.R.,intermediate representation,,
IR (intermediate representation) ,,,,Common-term
IRIF,,,,Lab
IS4,,,,
ISA (instruction set architecture) ,,,,
ISP networks,,,,
IT University of Copenhagen,,,,Institution
ITree (interaction tree) ,“eye-tree”,,,
Ian Clester,,,,Author
Id,,,,
Idris,,,,
Idris 2,,,,
Ilya Sergey,,,,Author
ImperativeHaskell,,,,
Imperial College London,,,,Institution
IncA,,,,
Information-flow control (IFC),,,,
Ingo Skupin,,,,Author
Inria,,Institution,,Institution
Institut Universitaire de France,,,,Institution
Interp,,,,
Ipv4,acronym,Ipv4 and Ipv6 are protocols,,protocol
Ipv6,acronym,,,
Irene Yoon,,,,Author
Iris,,,,tool theorem-proving
Iris proof mode,,,,
Isabelle,,,,
Isabelle/HOL,,,,
Ishii,,,,
Ivan Perez,,,,Author
J eliminator,,,,
J. Garrett Morris,,,,Author
JIT-compiler (just-in-time compiler) ,,,,
JVM (Java Virtual Machine) ,,,,
Jackson Kearl,,,,Author
Jad Elkhaleq Ghalayini,,,,Author
James Cheney,,,,Author
James Koppel,,,,Author
Jan Midtgaard,,,,researcher
Jan Stolarek,,,,Author
Jane Street,,,,Institution
Jatin Arora,,,,Author
Java,,,,
JavaScript,,,,Common-term programming-language
Jay and Ghani ,,,,
Jean-Philippe Bernardy,,,,Author
Jeremy Yallop,,,,Author
Jesper Cockx,,,,Author
Jessica Shi,,,,Author
Jim,,,,
Joachim Breitner,,,,Author
Joachim Breitner,,,,Author
Johan Munk,,,,researcher
John Burnham,,,,Author
John Reppy,,,,Author
John Reynolds,,,,researcher
Join-Point,,,,
Jonas Kastberg Hinrichsen,,,,Author
Jonathan Immanuel Brachthäuser,,,,Author
Jonathan Protzenko,,,,Author
Joseph Eremondi,,,,Author
Joseph Tassarotti,,,,Author
Jules Jacobs,,,,Author
K ,,“K axiom”,,
KC Sivaramakrishnan,,,,Author
KL,K.L.,KL abstract machine,,
KN,K.N.,KN abstract machine,,
KU Leuven,,,,
KU Leuven,,,,Institution
Kantorivich ,,“Kantorovich lifting”,,
