Term,Pronunciation,Context / Example Usage,Notes,Tags
call by need,,,call-by-need as adjective,
call by value,,,call-by-value as adjective,
call-by-name (CbN),,,,Common-term
call-by-name (cbn),,,,Common-term evaluation
call-by-push-value,,,,Common-term
call-by-value (cbv),,,,Common-term evaluation
call/cc,,Call with current continuation,,Common-term
callback,,,,
canonicity,,,,
capability,,,,
case expression,,,,
cast,,Gradual typing,,theory
categorical semantics,,,,
category,,,,
clause,,,,
closure,,,,Common-term
closure conversion,,,,Common-term
closures,,,,Common-term
co-contextual,,,,
code continuation,,,,
coherence,,,,
coinductive,,,,Common-term
collapsible,,,,
collecting semantics,,,,
combinator,,,,Common-term
comonad,Koe-mow-nad,,,
compiled,,,,
compiler,,,,Common-term
composable,,,,
conclusion,,,,
concurrency,,,,Common-term
concurrent,,,,Common-term
congruence,,,,Common-term
conjunction,,,,
cons,kon-ss,,,
conservative,,,,theory
conservative extension,,,,
consistency,,Gradual typing,,theory
constraint inference,,,,
constraint solver,,,,
constructor,,,,Common-term
consumer,,,,
context,,,,Common-term
context-sensitive,,,,Common-term parsing
contextual,,,,Common-term
continuation,,,,
continuation-passing style,,,,
continuation-passing style,,,,Common-term evaluation
contraction,,,,
contrex,,,,
convex,,,,Common-term
copattern,,,,
coproduct,,,,
cumulativity,,,,theory
curried,,,,
data-plane,,,,
datatype,,,,Common-term
datatype generic,,,,
datatype-generic programming,,,,
de Carvalho correspondence,,,,
de Moura,,,,
deadlock freedom,,,,
deadlock/leak freedom,,,,
decidability,,,,
decidable,,,,
decomposition,,,,
deductive,,,,
definitionally,,,,theory
defunctionalization,,,,
delegation,,,,
delimiting operator,,,,
demonic,,,,
denotational semantics,,,,semantics
dependent,,,,Common-term
dependent pairs,,,,
dependent types,,,,Common-term
dependent types,,,,
dependently-typed,,,,types
derivation,,,,
derivative,,,,
derive,,,,
deriving,,,,
destructor,,,,Common-term
desugar,,,,Common-term
desugaring,,,,Common-term
diff,,,,
diffing,,,,
direct style,,,,
discrete,,,,
disentanglement,,,,
distribution,,,,
divergence,,,,Common-term
dominator tree,,,,
drop-guided reuse algorithm,,,,
dropWhile,,,,
duality,,,,
dump,,,,
dynamic semantics,,,,
e-graphs,,,,
ecosystem,,,,
effect handler,,,,
effect handlers,,,,
effectful,,,,
effectfully,,,,
elaborator reflection,,,,
elimination calculus,,,,
embeddings,,,,
endpoint,,,,
entailment,,,,
entanglement,,,,
enumeration,,,,Common-term
enumerator,,,,Common-term
ep-pairs,E-P-pair,short for embedding projection pair,,theory
equational,,,,Common-term
equational theory,,,,Common-term
equirecursive,,,,
erasure,,type erasure,,Common-term
error-approximation,,,,
eutt,equivalence-up-to-taus,E.U.T.T.,,
evaluator,,,,
explicit positivity annotations,,,,
exponential,,,,
expression,,,,Common-term
expressive,,,,Common-term
expressiveness,,,,Common-term
extensional,,functions,,theory
extensional expressive power,,,,
extensionality,,,,Common-term
extensionally,,,,
f-relevant,,,,
feature-arity,,,,
fibration,,,,Common-term
filter,,,,
fixpoint,,,,Common-term
fn,,,,
fold,,,,Common-term
fold fusion,,,,
foldLeft,,,,
force,,,,Common-term evaluation
fork/join,,“fork/join parallelism”,,
formalization,,,,Common-term
free monad,free mow-nad,,,
freer monad,,,,
freer monads,,,,
functional correspondence,,,,
functional programming,,,,
functor,,,,Common-term
garbage collection,,GC,,Common-term
garbage collector,,GC,,Common-term
garbage-collected,,,,
garbage-free ,,,,
gcc,,,,tool compiler
generative adversarial network,,GAN,,Common-term machine-learning
generic,,,,
genometric,,related to genomes,,
genomic,,,,
ghost,,,,
ghost machine,,,,
ghost program,,,,
git-diff,,,,
graded monads,,,,
gradual dependent types,,,,
gradual types,,,,
graduality,,,,
graduality,,,,
gradually typed language,,,,
hash table,,,,
head normalizable terms,,,,
headers,,,,
heap,,,,
heterogeneous,,,,
higher-order,,,,Common-term
higher-order function,,,,
homomorphism,,,,Common-term
homotopy theory,,,,Common-term
iCAP,,,,
idempotence,,,,
idempotent,,,,Common-term
immutable,,,,Common-term
imperativity,,,,
implicit sharing,,,,
impredicative,,,,Common-term
indexed families,,,,Common-term
induction,,,,Common-term
inductive,,,,Common-term
inert term,,,,
inferring,,,,
injection,,,,
inscrutable terms,,,,
instance inference,,,,
instantiation,,,,
instruction,,,,
integer,,,,Common-term
intensional code analysis,,,,
internal precision,,,,theory
intersection types,,,,Common-term
invertible,,,,
isomorphic,,,,Common-term
iterations,,,,
iterator,,,,Common-term
judgement,,dependent types,,theory
k-CFA framework,,,,
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,
lambda calculi,,,,Common-term
lambda calculus,lam-duh calculus,,,theory
lambda-abstraction,,,,Common-term
lambda-bang calculus,,,,
lambda-calculi,,,,Common-term
lambda-calculus,,,,Common-term
lambda-terms,,,,Common-term
later-modality,,,,
lattice,,,,Common-term
lax functor,,,,
laziness,,,,
lemma,,,,Common-term
let-bound,,,,Common-term
linear,,,,Common-term
linear Haskell,,,,
linear constraints,,,,
linear ordering,,,,
linear resource calculus,,,,
linear types,,,,Common-term
linear-time,,,,Common-term
linearization,,,,
locally graded category ,,,,
logical relation,,,,Common-term
macro,,,,
macro system,,,,Common-term
mapReduce,,,,
match,,,,
matching,,“pattern matching”,,Common-term
measurability,,,,
mechanization,,,,
memoisation,,,,Common-term
memoise,,,,
memoising,,,,
memoization,,,,
memory management,,,,Common-term
memothunk,,,,
meta-language,,,,
meta-programming,,,,
metalanguage,,,,
metaprogram,,,,
metaprogramming,,,,Common-term
metaprograms,,,,
metatheory,,,,Common-term
modal,,,,
modalities,,,,Common-term
modality,,,,Common-term
model checking,,Automatic theorem proving,,tool technique
model-checker,,,,
modifier,,,,
modular,,,,Common-term
modular,,,,Common-term
modular,,,,
modularity,,,,Common-term
modularity,,,,
monad,Mow-nad,,,Common-term
monad transformer,,,,Common-term
monadic,Mow-nad-ick,,,
monadic interpreters,,,,
monoid,,,,Common-term
monoid-theory,,,,Common-term
monoidal,,,,Common-term
monoids,,,,Common-term
monolithic,,,,
monomorphic,,,,
monomorphization,,,,
monotone,,,,Common-term
monotonic,,,,Common-term
monotonicity,,Mathematical property,,Common-term
morphism,,,,Common-term
mu operator,,,,
multiLisp,,,,
multicore programs,,,,
multimodal,,,,
multiplicative,,,,
mut,“mute”,“mutable”,,
mutation,,,,
n-ary,,,,
n-normal-form,,,,
n-th ,,,,
necessity modality,,,,
networking,,,,term
nil,,,,
non-determinism,,,,Common-term
non-equijoin,,,,
nondeterminism,,,,
nondeterministic,,,,
noninterference,,,,Common-term
normalization,,computations,,theory
normalization by evaluation,,,,
normalize,,computations,,theory
normalizer,,computations,,theory
normaliser,,computations,,theory
normalized,,,,Common-term
observational,,,,
observational equivalence,,,,
operational semantics,,,,
optional,,,,
ornaments,,,,
p4v,,,,
packets,,,,networking
paradigm,,,,Common-term
parsimonious filters,,,,
partial pre-orders,,,,theory
partiality monad,,,,
pattern matching,,,,
pointer,,,,Common-term
polarity,,,,
polymorphic,,,,Common-term
polymorphism,,,,Common-term
pomonoid,,,,
potential function,,,,
ppx_derive,,,,
precision,,Gradual typing,,theory
predicative,,,,Common-term
premiss,,,,
presheaf,,,,Common-term
principality,,,,
probabilistic,,,,Common-term
probability,,,,Common-term
probability kernels,,,,
producer,,,,
program adverb,,,,
proof-irrelevant,,,,theory
propositional,,,,Common-term
propositional equality,,,,Common-term
protocol,,,,
pthread,,,,Common-term posix
qtype,,,,
quadratic,,,,Common-term
quagmires,,,,
qualified type system,,,,
quantified,,,,Common-term
quantifier,,,,Common-term
quantitative,,,,
quasi-linear,,,,Common-term
quicksort,,Common sorting algorithm,,Common-term sorting algorithm
race condition,,,,
race detection,,,,
race-freedom,,,,
reachable configuration,,,,
read2AndDiscard,,,,
reasonability,,,,
reborrowing,,,,
recurrence,,,,
recursion,,,,Common-term
recursion schemes,,,,
recursive,,,,Common-term
redex,,,,
reducibility,,,,
reduction,,,,Common-term
reduction,,,,Common-term
reduction criterion,,,,
reduction relation,,,,
reduction semantics,,,,
ref,,,,
referential transparency,,,,Common-term
refinement types,,,,
refinements,,,,
reflect,,,,
reflection,,,,Common-term
reflexivity,,,,Common-term
refocusing,,,,
refutation,,,,
register,,,,
register-based machine,,,,
reification,,,,Common-term
reified,,,,
reifies,,,,
reify,,,,Common-term
relational,,,,
reorderability,,,,
restriction context,,,,
resumption monad,,,,
reuse analysis,,,,
right-sided convexity,,,,
rigid term,,,,
rigidly graded monads,,,,
routing,,deciding which way packets of information are sent,,networking
row polymorphism,,,,
runtime,,,,Common-term
runtime type system,,,,
safe-coupling,,,,
scalability,,,,
scoped,,,,Common-term
semantic,,,,
semantics,,,,
semiring,,,,
separation logic,,,,Common-term
sequent calculus ,,,,Common-term
sequential ,,,,
sequential semantics,,,,
session typed,,,,
session types,,,,
setoid,,,,Common-term
shape invariant,,,,
shared-memory,,,,
small-step,,,,Common-term
smart contract language,,,,
smartNICs,,,,
stack,,,,
staging,,,,
staging-by-evaluation,,,,
step-indexed,,“step-indexed logical relations” “step-indexed logics” “step-indexed reasoning”,,Common-term
stochastic,Stow-kas-tick,,,Common-term statistics
strong reduction,,,,
stuck term,,,,
subject reduction,,,,Common-term
subtyping,,,,Common-term
succ,,,,
suspension types,,,,
symbolic,,,,
synchrony,,,,
synchrony fold,,,,
syntactic,,,,Common-term
syntax,,,,Common-term
syntax sugar,,,,
syntax-directed,,,,
synthesizer,,,,
synthetic,,,,
tactic,,,,
tail call,,,,
tail-recursive,,,,
takeWhile,,,,
telescope,,,,
theorem,,,,Common-term
thread-safety,,,,
thunk,,,,Common-term evaluation
toolchain,,,,
topological,,,,Common-term
transfinite,,,,
transition graph,,,,
transition system,,,,
traversal,,,,Common-term
tries,"Sometimes tries sometimes trees, I think",Prefix tree data structure,,
try-finally,,,,
type checker,,,,Common-term
type substitution,,,,
type-and-effect system,,,,
type-checker,,,,Common-term
typeability,,,,Common-term
typechecker,,,,Common-term
typeclass,,,,Common-term
typeclasses,,,,
ulam,,,,
uncountable,,,,Common-term
uncurried,,,,
unidirectional,,,,Common-term
unification,,,,
uniform strategy,,,,
universe,,dependent types,,theory
universe-polymorhpism,,,,
universe-polymorphic,,,,
untyped,,,,
untyped lambda calculus,,,,Common-term
v-normal-form,,,,
v-relevant,,,,
van de Meent,,,,
variable-binding,,,,Common-term
vect,,program data structure,,
wasm,,,,
weak reduction,,,,
weakening,,,,Common-term
well-typed,,,,Common-term
zip,,,,
Álvaro García-Pérez,,,,researcher
Éric Tanter,Ayric tan-ter,,,Author
Éric Tanter,,,,Author
à la Carte,,,,
Ścibior,,,,
α-conversion,alpha conversion,,,
α-renaming,alpha renaming,,,
β-conversion,bee-ta /ˈbiːtə/ conversion,,,
β-normalizable,bee-ta /ˈbiːtə/ normalizable,,,
β-reduction,bee-ta /ˈbiːtə/ reduction,,,
β-step,bee-ta /ˈbiːtə/ step,,,
δ-constructors,delta constructors,,,
λIK,Probably lambda-eye-kay,A variant of the lambda-calculus (a simple programming language),,
λIS4,,,,
λIT,,,,
λRP,Likely “lambda R.P.”,A variant of the lambda calculus with relational probabilistic typing,,
λ^1,,“linear resource calculus”,,
λ^1n,,“normalized linear resource calculus”,,
μSail (mu-sail) ,,,,
𝚷4,Probably “pi 4”,Dependently typed version of P4 developed by authors,,Programming-language
𝛽-equivalence (beta-equivalence) ,,,,Common-term equivalence
𝜂-equivalence (eta-equivalence) ,,,,Common-term equivalence
ICFP,,,,Common-term
